"movie_imdb_id","movie_names","production_company","id","id_str","name","screen_name","verified","hashtag_movie","movie_release_dates_list","toDate","fromDate"
"tt11742798","Afterlife of the Party","Netflix",NA,NA,NA,NA,NA,"#AfterlifeoftheParty",2021-09-02,"202109020000","202108030000"
"tt11762434","Cosmic Sin","Saban Films",NA,NA,NA,NA,NA,"#CosmicSin",2021-03-12,"202103120000","202102100000"
"tt11771006","Birds of Paradise","Amazon Studios",NA,NA,NA,NA,NA,"#BirdsofParadise",2021-09-24,"202109240000","202108250000"
"tt11777510","Love Spreads","Dignity Film Finance / Film Shed",NA,NA,NA,NA,NA,"#LoveSpreads",2021-06-18,"202106180000","202105190000"
"tt11788956","Habit","Lionsgate / Voltage Pictures",172549344,"172549344","The Habit Burger Grill <U+0001F354>","habitburger",TRUE,"#Habit",2021-08-20,"202108200000","202107210000"
"tt11804152","Till Death","Screen Media Films / Millennium Films",NA,NA,NA,NA,NA,"#TillDeath",2021-07-02,"202107020000","202106020000"
"tt11826450","Lady of the Manor","Lionsgate",NA,NA,NA,NA,NA,"#LadyoftheManor",2021-09-17,"202109170000","202108180000"
"tt11832046","PAW Patrol: The Movie","Paramount Pictures / Nickelodeon Movies / Paramount+",1316438142505775104,"1316438142505775104","PAW Patrol: The Movie","PAWPatrolMovie",TRUE,"#PAWPatrol:TheMovie",2021-08-20,"202108200000","202107210000"
"tt11833710","Catch the Bullet","Lionsgate",NA,NA,NA,NA,NA,"#CatchtheBullet",2021-09-10,"202109100000","202108110000"
"tt11867884","We Broke Up","Vertical Entertainment",NA,NA,NA,NA,NA,"#WeBrokeUp",2021-04-16,"202104160000","202103170000"
"tt11905538","Not Going Quietly","Greenwich Entertainment",NA,NA,NA,NA,NA,"#NotGoingQuietly",2021-08-13,"202108130000","202107140000"
"tt12163074","The Resort","Vertical Entertainment",28464656,"28464656","The Venetian Resort Las Vegas","VenetianVegas",TRUE,"#TheResort",2021-04-30,"202104300000","202103310000"
"tt12361974","Zack Snyder's Justice League","HBO Max / Warner Bros. Pictures / DC Films / Atlas Entertainment / The Stone Quarry",1261435037288783872,"1261435037288783872","Zack Snyder's Justice League","snydercut",TRUE,"#ZackSnyder'sJusticeLeague",2021-03-18,"202103180000","202102160000"
"tt12383460","Hypnotic","Netflix",NA,NA,NA,NA,NA,"#Hypnotic",2021-10-27,"202110270000","202109270000"
"tt12528166","Out of Death","Vertical Entertainment",2902573864,"2902573864","Death, Sex & Money","deathsexmoney",TRUE,"#OutofDeath",2021-07-16,"202107160000","202106160000"
"tt12536294","Spencer","Neon / Topic Studios / FilmNation Entertainment",322995499,"322995499","spencer","Spencer_Brown",TRUE,"#Spencer",2021-11-05,"202111050000","202110060000"
"tt12676326","Malcolm & Marie","Netflix",1341069360249544704,"1341069360249544704","Malcolm & Marie","malcolmariefilm",TRUE,"#Malcolm&Marie",2021-02-05,"202102050000","202101060000"
"tt12731980","Old Henry","Shout! Studios",NA,NA,NA,NA,NA,"#OldHenry",2021-10-01,"202110010000","202109010000"
"tt12783454","The Kissing Booth 3","Netflix",NA,NA,NA,NA,NA,"#TheKissingBooth3",2021-08-11,"202108110000","202107120000"
"tt12800524","Encounter","Amazon Studios / Film4 / Raw",213779153,"213779153","Ark Encounter","ArkEncounter",TRUE,"#Encounter",2021-12-10,"202112100000","202111100000"
"tt12801262","Luca","Disney+ / Walt Disney Pictures / Pixar Animation Studios",11985982,"11985982","Luca Hammer","luca",TRUE,"#Luca",2021-06-18,"202106180000","202105190000"
"tt12851396","Trollhunters: Rise of the Titans","Netflix / DreamWorks Animation",NA,NA,NA,NA,NA,"#Trollhunters:RiseoftheTitans",2021-07-21,"202107210000","202106210000"
"tt12889404","Cyrano","Metro-Goldwyn-Mayer / Bron Creative / Working Title Films",1307011840254255104,"1307011840254255104","Cyrano Movie","CyranoMovie",TRUE,"#Cyrano",2022-02-25,"202202250000","202201260000"
"tt13016030","Truman & Tennessee: An Intimate Conversation","Fischio Films / Peaceable Assembly",NA,NA,NA,NA,NA,"#Truman&Tennessee:AnIntimateConversation",2021-06-18,"202106180000","202105190000"
"tt13024674","Army of Thieves","Netflix / The Stone Quarry",NA,NA,NA,NA,NA,"#ArmyofThieves",2021-10-29,"202110290000","202109290000"
"tt13029044","Mother/Android","Hulu / Miramax",NA,NA,NA,NA,NA,"#Mother/Android",2021-12-17,"202112170000","202111170000"
"tt13061914","Locked Down","HBO Max / Warner Bros. Pictures",500859226,"500859226","MADE IN GHANA<U+0001F1EC><U+0001F1ED> #LoveLockedDown","Okyeamekwame",TRUE,"#LockedDown",2021-01-14,"202101140000","202012150000"
"tt13069986","After We Fell","Voltage Pictures",930229570820890624,"930229570820890626","After We Fell Movie","aftermovie",TRUE,"#AfterWeFell",2021-10-22,"202110220000","202109220000"
"tt13172796","Plan B","Hulu",61452308,"61452308","PLAN B","PLANBLIVE",TRUE,"#PlanB",2021-05-28,"202105280000","202104280000"
"tt13207508","Swan Song","Magnolia Pictures",1373035953808285696,"1373035953808285698","Swan Song","swansongfilm",TRUE,"#SwanSong",2021-12-17,"202112170000","202111170000"
"tt1321510","In the Heights","Warner Bros. Pictures / Likely Story / Endeavor Content / HBO Max",1004849101052055552,"1004849101052055552","In The Heights Movie","intheheights",TRUE,"#IntheHeights",2021-06-11,"202106110000","202105120000"
"tt13234058","My Son","Peacock / STXfilms",414929217,"414929217","¿Quién quiere casarse con mi hijo?","qqccmh",TRUE,"#MySon",2021-09-15,"202109150000","202108160000"
"tt13265876","Apex","RLJE Films",1048018930785083392,"1048018930785083392","Apex Legends","PlayApex",TRUE,"#Apex",2021-11-12,"202111120000","202110130000"
"tt13363828","We Need to Do Something","IFC Films",NA,NA,NA,NA,NA,"#WeNeedtoDoSomething",2021-09-03,"202109030000","202108040000"
"tt13372794","The Manor","Amazon Studios / Blumhouse Television",218276380,"218276380","THE MANOR","_TheManor",TRUE,"#TheManor",2021-10-08,"202110080000","202109080000"
"tt13372884","Black as Night","Amazon Studios / Blumhouse Television",NA,NA,NA,NA,NA,"#BlackasNight",2021-10-01,"202110010000","202109010000"
"tt13372944","Madres","Amazon Studios / Blumhouse Television",NA,NA,NA,NA,NA,"#Madres",2021-10-08,"202110080000","202109080000"
"tt13372992","Bingo Hell","Amazon Studios / Blumhouse Television",NA,NA,NA,NA,NA,"#BingoHell",2021-10-01,"202110010000","202109010000"
"tt13392012","Demonic","IFC Midnight / AGC Studios",1021685788109467648,"1021685788109467648","<U+3010><U+516C><U+5F0F><U+3011>Fate/Grand Order -<U+7D42><U+5C40><U+7279><U+7570><U+70B9> <U+51A0><U+4F4D><U+6642><U+9593><U+795E><U+6BBF><U+30BD><U+30ED><U+30E2><U+30F3>-","FGOAP_ep7",TRUE,"#Demonic",2021-08-20,"202108200000","202107210000"
"tt13429362","In the Earth","Neon",69656547,"69656547","The Strokes","thestrokes",TRUE,"#IntheEarth",2021-04-16,"202104160000","202103170000"
"tt13430932","Dawn of the Beast","Uncork'd Entertainment",NA,NA,NA,NA,NA,"#DawnoftheBeast",2021-04-02,"202104020000","202103030000"
"tt13432484","Zeros and Ones","Lionsgate",NA,NA,NA,NA,NA,"#ZerosandOnes",2021-11-19,"202111190000","202110200000"
"tt13453006","Red Rocket","A24 / FilmNation Entertainment",1415834849760321536,"1415834849760321537","Red Rocket","redrocketmovie",TRUE,"#RedRocket",2021-09-02,"202109020000","202108030000"
"tt13454122","Arlo the Alligator Boy","Netflix / Netflix Animation / Titmouse, Inc.",NA,NA,NA,NA,NA,"#ArlotheAlligatorBoy",2021-04-16,"202104160000","202103170000"
"tt13507778","No Man of God","RLJE Films",NA,NA,NA,NA,NA,"#NoManofGod",2021-08-27,"202108270000","202107280000"
"tt13575806","Back to the Outback","Netflix / Netflix Animation",NA,NA,NA,NA,NA,"#BacktotheOutback",2021-12-10,"202112100000","202111100000"
"tt1361336","Tom & Jerry","Warner Bros. Pictures / Warner Animation Group / HBO Max",1149430184849756160,"1149430184849756161","Tom & Jerry","TomAndJerry",TRUE,"#Tom&Jerry",2021-02-26,"202102260000","202101270000"
"tt13622084","Ailey","Neon",NA,NA,NA,NA,NA,"#Ailey",2021-07-23,"202107230000","202106230000"
