"movie_id","revenue","total_runtime_in_minute","meta_crtics_count","meta_score","release_date"
"tt1396484",123403419,135,629,69,1504828800
"tt4526136",0,92,3,NA,NA
"tt11204094",0,96,21,80,1648166400
"tt7587282",0,101,26,61,NA
"tt7303530",0,99,24,NA,NA
"tt6040662",76108,105,120,62,1536883200
"tt11079148",0,90,27,NA,NA
"tt11620828",0,NA,100,NA,NA
"tt11043546",0,166,3,NA,NA
"tt8717446",0,97,82,53,1600387200
"tt8752440",0,81,35,NA,1563580800
"tt6032704",0,83,13,NA,NA
"tt8415352",0,82,11,NA,NA
"tt6150942",0,98,15,64,1518134400
"tt5860940",0,84,5,NA,1480204800
"tt9794630",0,115,21,NA,NA
"tt9543238",0,77,2,NA,NA
"tt5462326",0,86,158,59,NA
"tt6645896",0,NA,2,NA,NA
"tt11656172",0,98,46,NA,1597968000
"tt10445176",0,NA,0,NA,NA
"tt10472124",0,NA,0,NA,NA
"tt14129188",0,NA,0,NA,NA
"tt2018111",0,99,34,77,1523923200
"tt2573372",0,98,16,NA,1583452800
"tt7014356",0,89,1,NA,1586217600
"tt9716342",0,90,2,NA,1573257600
"tt5993604",0,NA,2,NA,NA
"tt5469480",0,105,2,NA,NA
"tt10820540",0,NA,0,NA,NA
"tt10852768",0,NA,0,NA,1.566e+09
"tt8743422",0,NA,0,NA,1546300800
"tt8878086",0,NA,0,NA,1543622400
"tt1690967",0,106,17,65,1523577600
"tt5155780",0,102,73,54,1490918400
"tt3416744",123238,106,188,82,NA
"tt1956620",14608152,94,195,36,1405641600
"tt1245492",20719162,107,407,67,1370995200
"tt4196110",0,90,3,NA,NA
"tt3462710",4785431,100,102,45,1492732800
"tt3614530",1375320,118,65,42,1445558400
"tt4669306",0,87,4,NA,NA
"tt3283620",0,NA,0,NA,NA
"tt6063090",9358,119,86,67,1565308800
"tt2837574",142131,93,237,80,1539907200
"tt6265828",104030,92,324,84,NA
"tt1712261",6109085,115,261,52,1456444800
"tt2025690",10288932,117,203,58,NA
"tt4364194",204793,97,227,70,1566518400
"tt5913798",0,95,76,51,1571356800
"tt6628394",7132647,141,315,60,1539302400
"tt4477536",38560195,105,184,31,1518134400
"tt0858419",0,108,5,50,1556841600
"tt8639326",0,112,16,NA,1617321600
"tt8396294",0,100,72,49,1562889600
"tt7401588",14504315,118,157,57,1542326400
"tt7125070",0,90,2,NA,NA
"tt8004684",0,NA,0,NA,NA
"tt2963456",0,NA,0,NA,NA
"tt9608818",240160,124,86,57,1611878400
"tt10415302",0,NA,0,NA,1524009600
"tt5635668",0,NA,0,NA,NA
"tt11565830",0,NA,0,NA,NA
"tt0111102",19190,105,9,NA,780883200
"tt8155288",9497665,100,243,57,1550016000
"tt7307136",0,87,1,NA,NA
"tt5308322",26039025,96,309,58,1507852800
"tt1139592",19151,100,50,NA,NA
"tt4608402",0,110,25,NA,1460764800
"tt10553162",0,NA,0,NA,NA
"tt9870628",0,NA,0,NA,NA
"tt7786540",0,103,1,NA,1540857600
"tt9068088",0,NA,0,NA,NA
"tt8415882",0,NA,0,NA,NA
"tt8993020",0,NA,0,NA,NA
"tt7316576",0,84,13,NA,1551744000
"tt8179544",0,NA,0,NA,NA
"tt6294270",0,NA,0,NA,NA
"tt6369582",0,NA,0,NA,NA
"tt9024436",0,NA,0,NA,NA
"tt6151120",0,NA,0,NA,NA
"tt6342110",0,91,4,NA,1525996800
"tt6791238",0,89,10,NA,1509408000
"tt4986754",0,88,7,NA,1506038400
"tt6186940",0,99,28,32,1566518400
"tt4876864",0,NA,7,NA,NA
"tt3158298",0,NA,4,NA,NA
"tt5192590",0,NA,0,NA,1458172800
"tt8479296",0,NA,0,NA,NA
"tt5591666",0,95,50,NA,1530230400
"tt8025296",0,87,2,NA,1522454400
"tt6003368",7126084,91,64,39,1495152000
"tt4276820",3404102,115,321,66,1484870400
"tt8456568",7157,110,4,NA,1584662400
"tt5204704",0,NA,0,NA,1456963200
"tt4230700",14149,91,56,58,1472169600
"tt3581448",0,NA,0,NA,NA
"tt1196124",0,96,7,NA,NA
"tt0115832",0,127,22,NA,863654400
"tt0117951",262673,93,153,83,839548800
"tt3653096",0,NA,0,NA,NA
"tt0113184",3657,81,8,NA,893980800
"tt0206122",0,NA,0,NA,NA
"tt0120152",107108,121,50,45,857088000
"tt0116409",9215063,110,69,NA,844992000
"tt0116230",0,85,1,NA,NA
"tt0398380",0,NA,1,NA,NA
"tt0114388",721341,136,58,84,822614400
"tt0119266",0,150,0,NA,NA
"tt1842457",0,90,0,NA,NA
"tt1241699",0,NA,0,NA,NA
"tt0099362",0,NA,1,NA,NA
"tt0140729",0,NA,0,NA,NA
"tt0114917",0,98,4,NA,NA
"tt0119164",176585,91,85,75,874627200
"tt0137382",0,NA,1,NA,NA
"tt0110889",113430,105,32,NA,796003200
"tt0111534",0,79,1,NA,NA
"tt0395832",0,NA,0,NA,NA
"tt0264090",0,101,8,NA,NA
"tt0237431",0,96,2,NA,NA
"tt0106408",0,101,12,NA,769305600
"tt0117080",0,NA,1,NA,878428800
"tt0114182",0,101,7,NA,NA
"tt0111338",0,NA,1,NA,NA
"tt0107653",36463,131,54,85,760320000
"tt0852443",0,NA,1,NA,NA
"tt0312731",0,NA,1,NA,NA
"tt0314888",0,NA,0,NA,NA
"tt0089505",0,97,1,NA,501292800
"tt0089034",0,93,36,NA,497232000
"tt0311024",0,75,0,NA,NA
"tt0082678",0,104,4,NA,NA
"tt0095480",0,98,1,NA,NA
"tt0098190",0,96,22,NA,NA
"tt0096911",40498,94,6,NA,NA
"tt0088102",0,86,4,NA,NA
"tt0353403",0,NA,0,NA,NA
"tt0362450",0,NA,0,NA,NA
