"movie_names","production_company","movie_imdb_id","id","id_str","name","screen_name","verified"
"The Power of the Dog","Netflix / BBC Film / See-Saw Films","tt10293406",1427750090307903488,"1427750090307903499","The Power of the Dog","TPOTD",TRUE
"The Resort","Vertical Entertainment","tt12163074",28464656,"28464656","The Venetian Resort Las Vegas","VenetianVegas",TRUE
"The Souvenir Part II","A24 / BBC Film","tt6992978",1083475051993853952,"1083475051993853954","The Souvenir Part II","TheSouvenir",TRUE
"The Sparks Brothers","Focus Features / MRC","tt8610436",1358902677472759808,"1358902677472759811","The Sparks Brothers","SparksBrothers",TRUE
"The SpongeBob Movie: Sponge on the Run","Paramount+ / Paramount Animation / Nickelodeon Movies / MRC","tt4823776",2447749879,"2447749879","The SpongeBob Movie: Sponge on the Run","SpongeBobMovie",TRUE
"The Suicide Squad","Warner Bros. Pictures / DC Films / Atlas Entertainment / HBO Max","tt6334354",3278809183,"3278809183","The Suicide Squad","SuicideSquadWB",TRUE
"The Tomorrow War","Amazon Studios / Skydance Media / Paramount Pictures","tt9777666",1189680812058234880,"1189680812058234881","TheTomorrowWar","TheTomorrowWar",TRUE
"The Tragedy of Macbeth","Apple TV+ / A24 / IAC Films","tt10095582",546076148,"546076148","A24","A24",TRUE
"The Unholy","Screen Gems / Ghost House Pictures","tt9419056",2255811211,"2255811211","The Unholy Movie","UnholyMovie",TRUE
"The United States vs. Billie Holiday","Hulu / Roth/Kirschenbaum Films","tt8521718",1165251197596557312,"1165251197596557312","The U.S. vs. Billie Holiday","USvsBillie",TRUE
"The Water Man","RLJE Films","tt4779326",198573449,"198573449","World Bank Water","WorldBankWater",TRUE
"The White Tiger","Netflix","tt6571548",384210112,"384210112","The White Tiger","JohnLindahl",TRUE
"The Woman in the Window","Netflix / 20th Century Studios / Fox 2000 Pictures","tt6111574",1202035025937518592,"1202035025937518593","The Woman in the Window","doctorisin",TRUE
"There's Someone Inside Your House","Netflix / 21 Laps Entertainment","tt8150814",262198050,"262198050","Patrick Brice","patrick_brice",TRUE
"Thunder Force","Netflix","tt10121392",3319372179,"3319372179","Ben Falcone","benfalcone",TRUE
"To All the Boys: Always and Forever","Netflix","tt10676012",1164599393221316608,"1164599393221316608","To All The Boys: Always and Forever","toalltheboys",TRUE
"Together Together","Bleecker Street","tt11285280",706885783,"706885783","Together","Together_Money",TRUE
